1.0,88.0
2.0,84.0
3.0,85.0
4.0,85.0
5.0,84.0
6.0,85.0
7.0,83.0
8.0,85.0
9.0,88.0
10.0,89.0
11.0,91.0
12.0,99.0
13.0,104.0
14.0,112.0
15.0,126.0
16.0,138.0
17.0,146.0
18.0,151.0
19.0,150.0
20.0,148.0
21.0,147.0
22.0,149.0
23.0,143.0
24.0,132.0
25.0,131.0
26.0,139.0
27.0,147.0
28.0,150.0
29.0,148.0
30.0,145.0
31.0,140.0
32.0,134.0
33.0,131.0
34.0,131.0
35.0,129.0
36.0,126.0
37.0,126.0
38.0,132.0
39.0,137.0
40.0,140.0
41.0,142.0
42.0,150.0
43.0,159.0
44.0,167.0
45.0,170.0
46.0,171.0
47.0,172.0
48.0,172.0
49.0,174.0
50.0,175.0
51.0,172.0
52.0,172.0
53.0,174.0
54.0,174.0
55.0,169.0
56.0,165.0
57.0,156.0
58.0,142.0
59.0,131.0
60.0,121.0
61.0,112.0
62.0,104.0
63.0,102.0
64.0,99.0
65.0,99.0
66.0,95.0
67.0,88.0
68.0,84.0
69.0,84.0
70.0,87.0
71.0,89.0
72.0,88.0
73.0,85.0
74.0,86.0
75.0,89.0
76.0,91.0
77.0,91.0
78.0,94.0
79.0,101.0
80.0,110.0
81.0,121.0
82.0,135.0
83.0,145.0
84.0,149.0
85.0,156.0
86.0,165.0
87.0,171.0
88.0,175.0
89.0,177.0
90.0,182.0
91.0,193.0
92.0,204.0
93.0,208.0
94.0,210.0
95.0,215.0
96.0,222.0
97.0,228.0
98.0,226.0
99.0,222.0
100.0,220.0
